order_id,customer_id,product_id,order_date,quantity,total_amount,status,shipping_state
ORD1001,CUST-724,PROD-015,2026-08-01,2,79.98,Delivered,CA
ORD1002,CUST-109,PROD-042,2026-08-01,1,15.50,Delivered,TX
ORD1003,CUST-352,PROD-008,2026-08-02,5,124.75,Delivered,NY
ORD1004,CUST-881,PROD-023,2026-08-02,1,299.99,Shipped,FL
ORD1005,CUST-513,PROD-011,2026-08-02,3,45.00,Delivered,IL
ORD1006,CUST-204,PROD-050,2026-08-03,1,12.99,Cancelled,OH
ORD1007,CUST-690,PROD-003,2026-08-03,2,118.00,Delivered,PA
ORD1008,CUST-442,PROD-031,2026-08-04,1,85.00,Delivered,GA
ORD1009,CUST-115,PROD-019,2026-08-04,4,60.00,Shipped,NC
ORD1010,CUST-903,PROD-005,2026-08-04,2,450.00,Delivered,MI
ORD1011,CUST-331,PROD-015,2026-08-05,1,39.99,Delivered,VA
ORD1012,CUST-554,PROD-038,2026-08-05,3,71.85,Processing,NJ
ORD1013,CUST-772,PROD-022,2026-08-05,1,19.95,Delivered,AZ
ORD1014,CUST-109,PROD-009,2026-08-06,2,109.98,Delivered,TX
ORD1015,CUST-825,PROD-047,2026-08-06,1,135.00,Shipped,WA
ORD1016,CUST-612,PROD-012,2026-08-06,2,34.00,Delivered,MA
ORD1017,CUST-401,PROD-033,2026-08-07,1,55.00,Delivered,CO
ORD1018,CUST-295,PROD-001,2026-08-07,3,29.97,Delivered,TN
ORD1019,CUST-881,PROD-015,2026-08-07,1,39.99,Cancelled,FL
ORD1020,CUST-513,PROD-026,2026-08-08,2,170.00,Delivered,IL
ORD1021,CUST-134,PROD-041,2026-08-08,1,8.50,Delivered,MD
ORD1022,CUST-702,PROD-007,2026-08-08,4,239.96,Shipped,MO
ORD1023,CUST-352,PROD-020,2026-08-09,1,49.99,Delivered,NY
ORD1024,CUST-941,PROD-014,2026-08-09,2,110.00,Delivered,WI
ORD1025,CUST-554,PROD-002,2026-08-09,5,74.75,Delivered,NJ
ORD1026,CUST-115,PROD-035,2026-08-10,1,125.00,Processing,NC
ORD1027,CUST-489,PROD-018,2026-08-10,2,44.00,Delivered,MN
ORD1028,CUST-633,PROD-049,2026-08-10,1,65.00,Delivered,IN
ORD1029,CUST-204,PROD-011,2026-08-11,3,45.00,Delivered,OH
ORD1030,CUST-724,PROD-030,2026-08-11,1,19.99,Shipped,CA
ORD1031,CUST-825,PROD-008,2026-08-11,2,49.90,Delivered,WA
ORD1032,CUST-331,PROD-023,2026-08-12,1,299.99,Delivered,VA
ORD1033,CUST-903,PROD-044,2026-08-12,4,64.00,Delivered,MI
ORD1034,CUST-442,PROD-003,2026-08-12,1,59.00,Cancelled,GA
ORD1035,CUST-690,PROD-012,2026-08-13,2,34.00,Delivered,PA
ORD1036,CUST-134,PROD-037,2026-08-13,3,165.00,Shipped,MD
ORD1037,CUST-401,PROD-025,2026-08-13,1,89.95,Delivered,CO
ORD1038,CUST-772,PROD-006,2026-08-14,2,50.00,Delivered,AZ
ORD1039,CUST-295,PROD-015,2026-08-14,1,39.99,Delivered,TN
ORD1040,CUST-612,PROD-048,2026-08-14,5,75.00,Processing,MA
ORD1041,CUST-941,PROD-021,2026-08-15,1,120.00,Delivered,WI
ORD1042,CUST-489,PROD-010,2026-08-15,2,31.98,Delivered,MN
